site,SITE_NAME,IGBP,LOCATION_LAT,LOCATION_LONG,MAT_WorldClim,MAP_WorldClim_cm,reason
AR-SLu,NA,NA,NA,NA,NA,NA,Missing coordinates
AR-Vir,NA,NA,NA,NA,NA,NA,Missing coordinates
AT-Neu,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-ASM,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Ade,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Cpr,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Cum,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-DaP,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-DaS,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Dry,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Emr,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Fog,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-GWW,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Gin,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-How,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Lox,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-RDF,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Rig,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Rob,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Stp,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-TTE,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Tum,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Wac,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Whr,NA,NA,NA,NA,NA,NA,Missing coordinates
AU-Wom,NA,NA,NA,NA,NA,NA,Missing coordinates
CG-Tch,NA,NA,NA,NA,NA,NA,Missing coordinates
CH-Cha,NA,NA,NA,NA,NA,NA,Missing coordinates
CH-Fru,NA,NA,NA,NA,NA,NA,Missing coordinates
CH-Oe2,NA,NA,NA,NA,NA,NA,Missing coordinates
CN-Dan,NA,NA,NA,NA,NA,NA,Missing coordinates
CN-Du2,NA,NA,NA,NA,NA,NA,Missing coordinates
CN-Ha2,NA,NA,NA,NA,NA,NA,Missing coordinates
CN-HaM,NA,NA,NA,NA,NA,NA,Missing coordinates
CN-Qia,NA,NA,NA,NA,NA,NA,Missing coordinates
CZ-BK2,NA,NA,NA,NA,NA,NA,Missing coordinates
DE-Akm,NA,NA,NA,NA,NA,NA,Missing coordinates
DE-Hai,NA,NA,NA,NA,NA,NA,Missing coordinates
DE-Lkb,NA,NA,NA,NA,NA,NA,Missing coordinates
DE-Obe,NA,NA,NA,NA,NA,NA,Missing coordinates
DE-Seh,NA,NA,NA,NA,NA,NA,Missing coordinates
DE-SfN,NA,NA,NA,NA,NA,NA,Missing coordinates
DE-Zrk,NA,NA,NA,NA,NA,NA,Missing coordinates
DK-Eng,NA,NA,NA,NA,NA,NA,Missing coordinates
DK-Fou,NA,NA,NA,NA,NA,NA,Missing coordinates
ES-Amo,NA,NA,NA,NA,NA,NA,Missing coordinates
ES-LgS,NA,NA,NA,NA,NA,NA,Missing coordinates
FI-Jok,NA,NA,NA,NA,NA,NA,Missing coordinates
GH-Ank,NA,NA,NA,NA,NA,NA,Missing coordinates
IT-Col,NA,NA,NA,NA,NA,NA,Missing coordinates
IT-Isp,NA,NA,NA,NA,NA,NA,Missing coordinates
IT-La2,NA,NA,NA,NA,NA,NA,Missing coordinates
IT-Lav,NA,NA,NA,NA,NA,NA,Missing coordinates
IT-Ro1,NA,NA,NA,NA,NA,NA,Missing coordinates
IT-Ro2,NA,NA,NA,NA,NA,NA,Missing coordinates
IT-SRo,NA,NA,NA,NA,NA,NA,Missing coordinates
JP-MBF,NA,NA,NA,NA,NA,NA,Missing coordinates
PA-SPn,NA,NA,NA,NA,NA,NA,Missing coordinates
RU-Che,NA,NA,NA,NA,NA,NA,Missing coordinates
RU-Cok,NA,NA,NA,NA,NA,NA,Missing coordinates
RU-Ha1,NA,NA,NA,NA,NA,NA,Missing coordinates
SD-Dem,NA,NA,NA,NA,NA,NA,Missing coordinates
SJ-Adv,NA,NA,NA,NA,NA,NA,Missing coordinates
ZM-Mon,NA,NA,NA,NA,NA,NA,Missing coordinates
US-KS3,Kennedy Space Center (salt marsh),WET,28.7084,-80.7427,NA,NA,WorldClim MAT missing
